what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1285784497275
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1285784497275
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1285784497275
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1285784497275
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1285784497275
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1285784497280
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1285784497281
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1285784497281
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1285784497287
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1285784497287
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1285784497288
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1285784497289
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1285784497289
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1285784497289
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1285784497289
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1285784497294
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1285784497294
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1285784497294
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1285784497294
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1285784497294
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1285784497294
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1285784497295
os,sysinfo,,,"linux",1285784497301
arch,sysinfo,,,"x86_64",1285784497301
ws,sysinfo,,,"gtk",1285784497301
locale,sysinfo,,,"en_US",1285784497301
processors,sysinfo,,,"4",1285784497301
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285784497301
java.runtime.version,sysinfo,,,"1.6.0_07-b06",1285784497301
java.specification.name,sysinfo,,,"Java Platform API Specification",1285784497301
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285784497301
java.specification.version,sysinfo,,,"1.6",1285784497301
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285784497301
java.version,sysinfo,,,"1.6.0_07",1285784497301
java.vm.info,sysinfo,,,"mixed mode",1285784497301
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1285784497301
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285784497301
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285784497301
java.vm.specification.version,sysinfo,,,"1.0",1285784497301
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285784497301
java.vm.version,sysinfo,,,"10.0-b23",1285784497301
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1285784497331
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1285784497340
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1285784497344
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1285784497461
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1285784497707
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1285784497708
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1285784497774
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1285784497804
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1285784497934
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285784500149
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285784503246
stopped,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1285784504213
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20100526-0800,"org.eclipse.team.cvs.ssh2",1285784504213
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1285784504226
stopped,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1285784504247
stopped,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1285784504247
stopped,bundle,org.eclipse.help.webapp,3.5.0.v20100507,"org.eclipse.help.webapp",1285784504247
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1285784504249
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20100421,"org.eclipse.equinox.jsp.jasper",1285784504250
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1285784504250
stopped,bundle,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui",1285784504250
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.0.v20100611-0430,"org.eclipse.epp.mpc.ui",1285784504250
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1285784504250
stopped,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1285784504250
stopped,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1285784504250
stopped,bundle,org.eclipse.help.base,3.5.0.v201006080911,"org.eclipse.help.base",1285784504250
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1285784504251
stopped,bundle,net.sf.webcat.eclipse.submitter.ui,1.2.1,"net.sf.webcat.eclipse.submitter.ui",1285784504251
stopped,bundle,net.sf.webcat.eclipse.submitter,1.2.1,"net.sf.webcat.eclipse.submitter",1285784504251
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1285784504251
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1285784504251
stopped,bundle,org.eclipse.mylyn.commons.xmlrpc,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.xmlrpc",1285784504252
stopped,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1285784504252
