RUNID	BATCHSETID	MPL	NUMEXECXACTS	PT	TPS
609	421	400	2736	46255353.67	22.8
609	421	500	2543.33	53579997.67	21.19
609	421	600	2718.33	66926581.33	22.65
609	421	700	2611	75250969.33	21.76
609	421	800	2482.67	80569665.67	20.69
609	421	900	2745	98461733.33	22.88
609	421	1000	2790	109357330.33	23.25
609	441	100	2603	11822057	21.69
609	441	200	2675	23340503.67	22.29
609	441	300	2630.67	33938077.33	21.92
609	441	400	2761.33	46371460	23.01
609	441	500	2574.33	53889272	21.45
609	441	600	2644.33	65110525	22.04
609	441	700	2778.67	78589512.67	23.16
609	441	800	2524.33	81290547.67	21.04
609	441	900	2748.33	97679691	22.9
609	441	1000	3017	115139188	25.14
609	461	100	2559	11813641	21.33
609	461	200	2657	23526379	22.14
609	461	300	2682.67	34823024.67	22.36
609	461	400	2741	46591010.33	22.84
609	461	500	2540.33	54022450.67	21.17
609	461	600	2625	65604803.33	21.88
609	461	700	2823	80320665	23.53
609	461	800	2468	80397646	20.57
609	461	900	2743.67	98613725.67	22.86
609	461	1000	2841.67	110886548	23.68
609	481	100	2530	11765114.33	21.08
609	481	200	2640	23220370.67	22
609	481	300	2689.67	34908257.33	22.41
609	481	400	2653.67	45371657.67	22.11
609	481	500	2542	53937752	21.18
609	481	600	2504.33	62867711	20.87
609	481	700	2822.67	80396676.33	23.52
609	481	800	2466.33	80656092	20.55
609	481	900	2743	98777335.33	22.86
609	481	1000	2747	107816178.33	22.89
609	501	100	2588.33	11817531.67	21.57
609	501	200	2631.33	23069853.33	21.93
609	501	300	2677.67	34702930.67	22.31
609	501	400	2614.67	44743045	21.79
609	501	500	2755.67	57425044.33	22.96
609	501	600	2711.67	66874195.67	22.6
609	501	700	2825	80139010	23.54
609	501	800	2545.67	82711833.67	21.21
609	501	900	2744.67	98317776.67	22.87
609	501	1000	2767.33	107855298.33	23.06
609	502	100	2621	11843958.33	21.84
609	502	200	2681.33	23219804.33	22.34
609	502	300	2715.33	34846600.33	22.63
609	502	400	2644	44707528.33	22.03
609	502	500	2639.67	55357415	22
609	502	600	2569.67	63634329	21.41
609	502	700	2705.33	77012295.67	22.54
609	502	800	2488.67	80166289	20.74
609	502	900	2747.67	97651837.67	22.9
609	502	1000	2976.67	114094003.67	24.81
610	102	100	501718.33	5367026.67	4180.99
610	102	200	481042	5215283.67	4008.68
610	102	300	490200	5989101	4085
610	102	400	458610.33	6380434.67	3821.75
610	102	500	488959.33	6722172	4074.66
610	102	600	527281	6512999.33	4394.01
