"RNUM"	"DBMS"	"EXPERIMENTNAME"	"RUNID"	"BATCHSETID"	"PK"	"NUMPROCESSORS"	"ACTROWPOOL"	"PCTREAD"	"PCTUPDATE"	"ATP"	"MAXMPL"
"126"	"db2"	"xt-1M-1000-120-2"	949	462	0	0.142857142857143	0.666666666666667	0	0.25	0.000247	0.6
"127"	"db2"	"xt-1M-1000-120-2"	949	482	0	0.142857142857143	1	0	0.25	0.000243	1
"128"	"db2"	"xt-1M-1000-120-2"	949	521	0	0.142857142857143	0	0	0.5	0.000212	1
"129"	"db2"	"xt-1M-1000-120-2"	949	542	0	0.142857142857143	0.333333333333333	0	0.5	0.000239	0.4
"130"	"db2"	"xt-1M-1000-120-2"	949	582	0	0.142857142857143	0.666666666666667	0	0.5	0.000213	1
"131"	"db2"	"xt-1M-1000-120-2"	949	601	0	0.142857142857143	1	0	0.5	0.000219	1
"132"	"db2"	"xt-1M-1000-120-2"	949	641	0	0.142857142857143	0	0	0.75	0.000211	1
"133"	"db2"	"xt-1M-1000-120-2"	949	662	0	0.142857142857143	0.333333333333333	0	0.75	0.000232	0.4
"134"	"db2"	"xt-1M-1000-120-2"	949	702	0	0.142857142857143	0.666666666666667	0	0.75	0.00024	0.6
"135"	"db2"	"xt-1M-1000-120-2"	949	741	0	0.142857142857143	1	0	0.75	0.000252	0.6
"136"	"db2"	"xt-1M-1000-120-2"	949	762	0	0.142857142857143	0	0	1	0.000224	0.7
"137"	"db2"	"xt-1M-1000-120-2"	949	841	0	0.142857142857143	0.666666666666667	0	1	0.000212	1
"138"	"db2"	"xt-1M-1000-120-2"	949	862	0	0.142857142857143	1	0	1	0.000237	0.5
"139"	"db2"	"xt-1M-1000-120-2"	949	902	0	0.142857142857143	0	0.01	0	0.000201	1
"140"	"db2"	"xt-1M-1000-120-2"	949	941	0	0.142857142857143	0.333333333333333	0.01	0	0.000217	1
"141"	"db2"	"xt-1M-1000-120-2"	949	962	0	0.142857142857143	0.666666666666667	0.01	0	0.000245	0.4
"142"	"db2"	"xt-1M-1000-120-2"	949	1001	0	0.142857142857143	1	0.01	0	0.000179	0.3
"143"	"db2"	"xt-1M-1000-120-2"	949	1441	0	0.142857142857143	0	0.1	0	0.000143	0.7
"144"	"db2"	"xt-1M-1000-120-2"	949	1461	0	0.142857142857143	0.333333333333333	0.1	0	0.00018	0.5
"145"	"db2"	"xt-1M-1000-120-2"	949	1482	0	0.142857142857143	0.666666666666667	0.1	0	0.000201	1
"146"	"db2"	"xt-1M-1000-120-2"	949	1501	0	0.142857142857143	1	0.1	0	0.000202	1
"147"	"db2"	"xt-1M-1000-120-2"	949	1821	0	0.142857142857143	0	1	0	0.00018	1
"148"	"db2"	"xt-1M-1000-120-2"	949	1841	0	0.142857142857143	0.333333333333333	1	0	0.000164	0.4
"149"	"db2"	"xt-1M-1000-120-2"	949	1861	0	0.142857142857143	0.666666666666667	1	0	0.000194	0.4
"150"	"db2"	"xt-1M-1000-120-2"	949	1881	0	0.142857142857143	1	1	0	0.000174	1
"151"	"db2"	"xt-1M-1000-120-4"	849	2203	0	0.428571428571429	0	0	0.25	6.8e-05	1
"152"	"db2"	"xt-1M-1000-120-4"	849	2222	0	0.428571428571429	0.333333333333333	0	0.25	6.5e-05	1
"153"	"db2"	"xt-1M-1000-120-4"	849	2224	0	0.428571428571429	0.666666666666667	0	0.25	6e-05	1
"154"	"db2"	"xt-1M-1000-120-4"	849	2225	0	0.428571428571429	1	0	0.25	6e-05	1
"155"	"db2"	"xt-1M-1000-120-4"	849	2228	0	0.428571428571429	0	0	0.5	6.9e-05	1
"156"	"db2"	"xt-1M-1000-120-4"	849	2242	0	0.428571428571429	0.333333333333333	0	0.5	6.4e-05	1
"157"	"db2"	"xt-1M-1000-120-4"	849	2261	0	0.428571428571429	0.666666666666667	0	0.5	6.2e-05	1
"158"	"db2"	"xt-1M-1000-120-4"	849	2263	0	0.428571428571429	1	0	0.5	6.3e-05	1
"159"	"db2"	"xt-1M-1000-120-4"	849	2283	0	0.428571428571429	0	0	0.75	6.8e-05	1
"160"	"db2"	"xt-1M-1000-120-4"	849	2301	0	0.428571428571429	0.333333333333333	0	0.75	7e-05	1
"161"	"db2"	"xt-1M-1000-120-4"	849	2304	0	0.428571428571429	0.666666666666667	0	0.75	6.4e-05	1
"162"	"db2"	"xt-1M-1000-120-4"	849	2322	0	0.428571428571429	1	0	0.75	5.9e-05	1
"163"	"db2"	"xt-1M-1000-120-4"	849	2323	0	0.428571428571429	0	0	1	6.5e-05	1
"164"	"db2"	"xt-1M-1000-120-4"	849	2326	0	0.428571428571429	0.333333333333333	0	1	6.3e-05	1
"165"	"db2"	"xt-1M-1000-120-4"	849	2342	0	0.428571428571429	0.666666666666667	0	1	6.4e-05	1
"166"	"db2"	"xt-1M-1000-120-4"	849	3003	0	0.428571428571429	0	0.1	0	5e-05	0.5
"167"	"db2"	"xt-1M-1000-120-4"	849	3004	0	0.428571428571429	0.333333333333333	0.1	0	7e-05	0.5
"168"	"db2"	"xt-1M-1000-120-4"	849	3024	0	0.428571428571429	1	0.1	0	3.6e-05	0.5
"169"	"db2"	"xt-1M-1000-120-4"	849	3184	0	0.428571428571429	0.333333333333333	1	0	6.2e-05	0.4
"170"	"db2"	"xt-1M-1000-120-8"	1870	3764	0	1	0	0	0.25	0.000299	1
"171"	"db2"	"xt-1M-1000-120-8"	1870	3804	0	1	0.333333333333333	0	0.25	0.000318	1
"172"	"db2"	"xt-1M-1000-120-8"	1870	3806	0	1	0.666666666666667	0	0.25	0.000331	1
"173"	"db2"	"xt-1M-1000-120-8"	1870	3823	0	1	1	0	0.25	0.000333	1
"174"	"db2"	"xt-1M-1000-120-8"	1870	3843	0	1	0	0	0.5	0.000315	1
"175"	"db2"	"xt-1M-1000-120-8"	1870	3863	0	1	0.333333333333333	0	0.5	0.00033	1
"176"	"db2"	"xt-1M-1000-120-8"	1870	4164	0	1	0.666666666666667	0	0.5	0.000336	1
"177"	"db2"	"xt-1M-1000-120-8"	1870	4184	0	1	1	0	0.5	0.000311	1
"178"	"db2"	"xt-1M-1000-120-8"	1870	4204	0	1	0	0	0.75	0.000311	1
"179"	"db2"	"xt-1M-1000-120-8"	1870	4224	0	1	0.333333333333333	0	0.75	0.00032	1
"180"	"db2"	"xt-1M-1000-120-8"	1870	4244	0	1	0.666666666666667	0	0.75	0.000323	1
"181"	"db2"	"xt-1M-1000-120-8"	1870	4265	0	1	1	0	0.75	0.000332	1
"182"	"db2"	"xt-1M-1000-120-8"	1870	4384	0	1	0	0	1	0.00032	1
"183"	"db2"	"xt-1M-1000-120-8"	1870	4604	0	1	0.333333333333333	0	1	0.000322	1
"184"	"db2"	"xt-1M-1000-120-8"	1870	4625	0	1	0.666666666666667	0	1	0.000324	1
"185"	"db2"	"xt-1M-1000-120-8"	1870	4724	0	1	1	0	1	0.000327	1
"186"	"db2"	"xt-1M-1000-120-8"	1870	4765	0	1	0	0.01	0	0.202942	0.6
"187"	"db2"	"xt-1M-1000-120-8"	1870	4805	0	1	0.333333333333333	0.01	0	0.461501	0.4
"188"	"db2"	"xt-1M-1000-120-8"	1870	4824	0	1	0.666666666666667	0.01	0	0.8593	1
"189"	"db2"	"xt-1M-1000-120-8"	1870	4844	0	1	1	0.01	0	0.945273	1
"190"	"db2"	"xt-1M-1000-120-8"	1870	5205	0	1	0	0.1	0	0.03278	1
"191"	"db2"	"xt-1M-1000-120-8"	1870	5245	0	1	0.333333333333333	0.1	0	0.036407	1
"192"	"db2"	"xt-1M-1000-120-8"	1870	5284	0	1	0.666666666666667	0.1	0	0.015249	0.5
"193"	"db2"	"xt-1M-1000-120-8"	1870	5304	0	1	1	0.1	0	0.038668	0.7
"194"	"db2"	"xt-1M-1000-120-8"	1870	5606	0	1	0	1	0	0.003568	1
"195"	"db2"	"xt-1M-1000-120-8"	1870	5608	0	1	0.333333333333333	1	0	0.013847	1
"196"	"db2"	"xt-1M-1000-120-8"	1870	5626	0	1	0.666666666666667	1	0	0.034324	0.6
"197"	"db2"	"xt-1M-1000-120-8"	1870	5628	0	1	1	1	0	0.000205	1
"198"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7207	1	0	0	0	0.25	0.237444	1
"199"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7246	1	0	0.333333333333333	0	0.25	0.089456	0.7
"200"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7286	1	0	0.666666666666667	0	0.25	0.128866	0.6
"201"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7306	1	0	1	0	0.25	0.578731	0.7
"202"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7327	1	0	0	0	0.5	0.204439	1
"203"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7366	1	0	0.333333333333333	0	0.5	0.092416	1
"204"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7406	1	0	0.666666666666667	0	0.5	0.100397	1
"205"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7427	1	0	1	0	0.5	0.588127	0.6
"206"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7467	1	0	0	0	0.75	0.216887	1
"207"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7506	1	0	0.333333333333333	0	0.75	0.075419	1
"208"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7546	1	0	0.666666666666667	0	0.75	0.40993	0.7
"209"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7587	1	0	1	0	0.75	0.57029	1
"210"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7627	1	0	0	0	1	0.223633	1
"211"	"mysql"	"pk-xt-1M-1000-120-1"	1290	7666	1	0	0.333333333333333	0	1	0.058538	0.7
