DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ROUND(ATP,3)	MAXMPL
db2	xt-1M-1000-120-1	689	1723	0	1	.25	0	50	55.508	1100
db2	xt-1M-1000-120-1	689	1763	0	1	.5	0	50	50.087	1100
db2	xt-1M-1000-120-1	689	1801	0	1	.75	0	50	112.773	1100
db2	xt-1M-1000-120-1	689	1842	0	1	1	0	50	117.682	700
db2	xt-1M-1000-120-1	689	1882	0	1	.25	0	75	54.382	1100
db2	xt-1M-1000-120-1	689	1902	0	1	.5	0	75	54.209	1100
db2	xt-1M-1000-120-1	689	1923	0	1	.75	0	75	113.342	1100
db2	xt-1M-1000-120-1	689	1943	0	1	1	0	75	116.165	200
db2	xt-1M-1000-120-1	689	1983	0	1	.25	0	100	55.392	1100
db2	xt-1M-1000-120-1	689	2022	0	1	.5	0	100	53.081	1100
db2	xt-1M-1000-120-1	689	2043	0	1	.75	0	100	114.284	600
db2	xt-1M-1000-120-1	689	2083	0	1	1	0	100	107.093	1100
db2	xt-1M-1000-120-1	689	2123	0	1	.25	.01	0	42.047	500
db2	xt-1M-1000-120-1	689	2142	0	1	.5	.01	0	40.157	200
db2	xt-1M-1000-120-1	689	2144	0	1	.75	.01	0	40.142	200
db2	xt-1M-1000-120-1	689	2147	0	1	1	.01	0	46.196	200
db2	xt-1M-1000-120-1	689	2503	0	1	.25	.1	0	36.566	300
db2	xt-1M-1000-120-1	689	2522	0	1	.5	.1	0	48.974	200
db2	xt-1M-1000-120-1	689	2541	0	1	.75	.1	0	49.494	200
db2	xt-1M-1000-120-1	689	2561	0	1	1	.1	0	53.385	200
db2	xt-1M-1000-120-1	689	4105	0	1	.25	1	0	44.976	1100
db2	xt-1M-1000-120-1	689	4124	0	1	.5	1	0	39.26	200
db2	xt-1M-1000-120-1	689	4125	0	1	.75	1	0	39.603	1100
db2	xt-1M-1000-120-1	689	4144	0	1	1	1	0	41.655	200
db2	xt-1M-1000-120-2	949	401	0	2	.25	0	25	38.338	1100
db2	xt-1M-1000-120-2	949	422	0	2	.5	0	25	39.527	1100
db2	xt-1M-1000-120-2	949	462	0	2	.75	0	25	40.033	700
db2	xt-1M-1000-120-2	949	482	0	2	1	0	25	37.128	1100
db2	xt-1M-1000-120-2	949	521	0	2	.25	0	50	34.743	1100
db2	xt-1M-1000-120-2	949	542	0	2	.5	0	50	39.125	500
db2	xt-1M-1000-120-2	949	582	0	2	.75	0	50	34.517	1100
db2	xt-1M-1000-120-2	949	601	0	2	1	0	50	36.327	1100
db2	xt-1M-1000-120-2	949	641	0	2	.25	0	75	35.208	1100
db2	xt-1M-1000-120-2	949	662	0	2	.5	0	75	36.009	1100
db2	xt-1M-1000-120-2	949	702	0	2	.75	0	75	39.312	700
db2	xt-1M-1000-120-2	949	741	0	2	1	0	75	39.442	1100
db2	xt-1M-1000-120-2	949	762	0	2	.25	0	100	33.792	1100
db2	xt-1M-1000-120-2	949	802	0	2	.5	0	100	34.78	1100
db2	xt-1M-1000-120-2	949	841	0	2	.75	0	100	34.768	1100
db2	xt-1M-1000-120-2	949	862	0	2	1	0	100	37.844	600
db2	xt-1M-1000-120-2	949	902	0	2	.25	.01	0	34.255	800
db2	xt-1M-1000-120-2	949	941	0	2	.5	.01	0	35.251	700
db2	xt-1M-1000-120-2	949	962	0	2	.75	.01	0	38.426	600
