DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	xt-1M-1000-120-6	3089	9807	0	6	.5	0	100	5.62823077747058856370824267081862568433E00	1100
db2	xt-1M-1000-120-6	3089	9808	0	6	.75	0	100	5.6405111060370778695597197616865582599E00	1100
db2	xt-1M-1000-120-6	3089	9809	0	6	1	0	100	6.20546859159084205032788001179914229312E04	1100
db2	xt-1M-1000-120-6	3089	9810	0	6	.25	.01	0	6.27070634898736272832625131063407096739E03	700
db2	xt-1M-1000-120-6	3089	9811	0	6	.5	.01	0	1.18744481243355439680048600212625930238E05	1100
db2	xt-1M-1000-120-6	3089	9812	0	6	.75	.01	0	1.14148031887056532586867887786770522729E05	600
db2	xt-1M-1000-120-6	3089	9813	0	6	1	.01	0	1.16085519600423792946874527016800363251E05	1100
db2	xt-1M-1000-120-6	3089	9814	0	6	.25	.1	0	734.8269113355337929660210878025100996	800
db2	xt-1M-1000-120-6	3089	9815	0	6	.5	.1	0	5.84301148133622514649660901021886416414E01	1100
db2	xt-1M-1000-120-6	3089	9816	0	6	.75	.1	0	7.7936358767134934010812324649799706937E03	1100
db2	xt-1M-1000-120-6	3089	9817	0	6	1	.1	0	3.03439648795669844451818892583637905566E02	1100
