DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	xt-1M-1000-120-1	2389	1882	0	1	.25	0	75	150.586	1100
db2	xt-1M-1000-120-1	2389	1902	0	1	.5	0	75	152.714	1100
db2	xt-1M-1000-120-1	2389	1923	0	1	.75	0	75	152.975	1100
db2	xt-1M-1000-120-1	2389	1943	0	1	1	0	75	155.488	1100
db2	xt-1M-1000-120-1	2389	1983	0	1	.25	0	100	147.409	1100
db2	xt-1M-1000-120-1	2389	2022	0	1	.5	0	100	151.596	1100
db2	xt-1M-1000-120-1	2389	2043	0	1	.75	0	100	151.463	1100
db2	xt-1M-1000-120-1	2389	2083	0	1	1	0	100	153.938	1100
db2	xt-1M-1000-120-1	2389	2144	0	1	.75	.01	0	85506.884	1100
db2	xt-1M-1000-120-1	2389	2147	0	1	1	.01	0	109335.779	1100
db2	xt-1M-1000-120-1	2389	2503	0	1	.25	.1	0	8077.336	500
db2	xt-1M-1000-120-1	2389	2522	0	1	.5	.1	0	12435.564	500
db2	xt-1M-1000-120-1	2389	2561	0	1	1	.1	0	9243.318	800
db2	xt-1M-1000-120-1	2389	4105	0	1	.25	1	0	5271.818	500
db2	xt-1M-1000-120-1	2389	4124	0	1	.5	1	0	10935.65	100
db2	xt-1M-1000-120-1	2389	4125	0	1	.75	1	0	15810.071	400
db2	xt-1M-1000-120-1	2389	4144	0	1	1	1	0	15156.681	1100
db2	xt-1M-1000-120-2	2249	401	0	2	.25	0	25	109.819	1100
db2	xt-1M-1000-120-2	2249	422	0	2	.5	0	25	125.668	1100
db2	xt-1M-1000-120-2	2249	462	0	2	.75	0	25	124.619	1100
db2	xt-1M-1000-120-2	2249	482	0	2	1	0	25	126.671	1100
db2	xt-1M-1000-120-2	2249	521	0	2	.25	0	50	104.54	1100
db2	xt-1M-1000-120-2	2249	542	0	2	.5	0	50	112.973	1100
db2	xt-1M-1000-120-2	2249	582	0	2	.75	0	50	113.956	1100
db2	xt-1M-1000-120-2	2249	601	0	2	1	0	50	117.699	1100
db2	xt-1M-1000-120-2	2249	662	0	2	.5	0	75	107.579	1100
db2	xt-1M-1000-120-2	2249	702	0	2	.75	0	75	108.791	1100
db2	xt-1M-1000-120-2	2249	741	0	2	1	0	75	117.791	1100
db2	xt-1M-1000-120-2	2249	802	0	2	.5	0	100	106.938	1100
db2	xt-1M-1000-120-2	2249	841	0	2	.75	0	100	108.058	1100
db2	xt-1M-1000-120-2	2249	862	0	2	1	0	100	108.029	1100
db2	xt-1M-1000-120-2	2249	1441	0	2	.25	.1	0	11010.358	400
db2	xt-1M-1000-120-2	2249	1461	0	2	.5	.1	0	15340.239	800
db2	xt-1M-1000-120-2	2249	1482	0	2	.75	.1	0	16942.237	200
db2	xt-1M-1000-120-2	2249	1501	0	2	1	.1	0	18419.467	800
db2	xt-1M-1000-120-2	2249	1821	0	2	.25	1	0	3962.948	500
db2	xt-1M-1000-120-2	2249	1881	0	2	1	1	0	4194.323	1100
db2	xt-1M-1000-120-4	2349	2203	0	4	.25	0	25	50.004	1100
db2	xt-1M-1000-120-4	2349	2222	0	4	.5	0	25	53.738	700
db2	xt-1M-1000-120-4	2349	2224	0	4	.75	0	25	60.055	1100
db2	xt-1M-1000-120-4	2349	2225	0	4	1	0	25	56.954	1100
db2	xt-1M-1000-120-4	2349	2228	0	4	.25	0	50	52.16	1100
db2	xt-1M-1000-120-4	2349	2242	0	4	.5	0	50	52.348	1100
db2	xt-1M-1000-120-4	2349	2261	0	4	.75	0	50	54.617	1100
db2	xt-1M-1000-120-4	2349	2263	0	4	1	0	50	54.715	1100
db2	xt-1M-1000-120-4	2349	2283	0	4	.25	0	75	51.195	1100
db2	xt-1M-1000-120-4	2349	2301	0	4	.5	0	75	49.757	1100
db2	xt-1M-1000-120-4	2349	2304	0	4	.75	0	75	51.814	1100
db2	xt-1M-1000-120-4	2349	2322	0	4	1	0	75	58.923	1100
db2	xt-1M-1000-120-4	2349	2323	0	4	.25	0	100	52.5	1100
db2	xt-1M-1000-120-4	2349	2326	0	4	.5	0	100	50.671	1100
db2	xt-1M-1000-120-4	2349	2342	0	4	.75	0	100	53.215	1100
db2	xt-1M-1000-120-4	2349	2344	0	4	1	0	100	54.044	1100
db2	xt-1M-1000-120-4	2349	2387	0	4	1	.01	0	34030.745	400
db2	xt-1M-1000-120-4	2349	3003	0	4	.25	.1	0	2099.841	500
db2	xt-1M-1000-120-4	2349	3004	0	4	.5	.1	0	3893.754	1100
db2	xt-1M-1000-120-6	3089	9771	0	6	.25	0	25	49219.07	1100
db2	xt-1M-1000-120-6	3089	9772	0	6	.5	0	25	44414.084	1100
db2	xt-1M-1000-120-6	3089	9773	0	6	.75	0	25	39278.909	800
db2	xt-1M-1000-120-6	3089	9775	0	6	.25	0	50	5.72	1100
db2	xt-1M-1000-120-6	3089	9786	0	6	.5	0	50	5.702	1100
db2	xt-1M-1000-120-6	3089	9787	0	6	.75	0	50	5.647	1100
db2	xt-1M-1000-120-6	3089	9788	0	6	1	0	50	5.715	1100
db2	xt-1M-1000-120-6	3089	9789	0	6	.25	0	75	5.626	1100
db2	xt-1M-1000-120-6	3089	9790	0	6	.5	0	75	5.57	1100
db2	xt-1M-1000-120-6	3089	9791	0	6	.75	0	75	5.737	1100
db2	xt-1M-1000-120-6	3089	9792	0	6	1	0	75	5.7	1100
db2	xt-1M-1000-120-6	3089	9806	0	6	.25	0	100	5.631	1100
db2	xt-1M-1000-120-6	3089	9807	0	6	.5	0	100	5.632	1100
db2	xt-1M-1000-120-6	3089	9808	0	6	.75	0	100	5.609	1100
db2	xt-1M-1000-120-6	3089	9809	0	6	1	0	100	62062.836	1100
db2	xt-1M-1000-120-6	3089	9812	0	6	.75	.01	0	117263.608	600
db2	xt-1M-1000-120-6	3089	9813	0	6	1	.01	0	114883.083	1100
db2	xt-1M-1000-120-6	3089	9814	0	6	.25	.1	0	820.81	700
db2	xt-1M-1000-120-6	3089	9815	0	6	.5	.1	0	41.787	1100
db2	xt-1M-1000-120-6	3089	9816	0	6	.75	.1	0	8081.754	400
db2	xt-1M-1000-120-6	3089	9817	0	6	1	.1	0	3342.893	1100
db2	xt-1M-1000-120-6	3089	9826	0	6	.25	1	0	1119.423	1100
db2	xt-1M-1000-120-6	3089	9827	0	6	.5	1	0	2100.145	1100
db2	xt-1M-1000-120-6	3089	9828	0	6	.75	1	0	2774.62	300
db2	xt-1M-1000-120-6	3089	9829	0	6	1	1	0	3472.905	200
db2	xt-1M-1000-120-8	2369	3764	0	8	.25	0	25	47.222	1100
db2	xt-1M-1000-120-8	2369	3804	0	8	.5	0	25	49.349	1100
db2	xt-1M-1000-120-8	2369	3806	0	8	.75	0	25	50.224	1100
db2	xt-1M-1000-120-8	2369	3823	0	8	1	0	25	51.798	1100
db2	xt-1M-1000-120-8	2369	3843	0	8	.25	0	50	47.844	1100
db2	xt-1M-1000-120-8	2369	3863	0	8	.5	0	50	49.444	1100
db2	xt-1M-1000-120-8	2369	4164	0	8	.75	0	50	50.616	1100
db2	xt-1M-1000-120-8	2369	4184	0	8	1	0	50	50.756	1100
db2	xt-1M-1000-120-8	2369	4204	0	8	.25	0	75	48.63	1100
db2	xt-1M-1000-120-8	2369	4224	0	8	.5	0	75	49.297	1100
