"DBMS" "EXPERIMENTNAME" "RUNID" "BATCHSETID" "PK" "NUMPROCESSORS" "ACTROWPOOL" "PCTREAD" "PCTUPDATE" "ATP" "MAXMPL"
"157" "db2" "xt-1M-1000-120-4" 849 2222 0 0.5 0.5 0 0 9.38463268823577e-05 1
"158" "db2" "xt-1M-1000-120-4" 849 2224 0 0.5 0.75 0 0 8.93835558875178e-05 1
"159" "db2" "xt-1M-1000-120-4" 849 2225 0 0.5 1 0 0 8.9179784566334e-05 1
"160" "db2" "xt-1M-1000-120-4" 849 2228 0 0.5 0.25 0 0 9.83438356946929e-05 1
"161" "db2" "xt-1M-1000-120-4" 849 2242 0 0.5 0.5 0 0 9.29102680434997e-05 1
"162" "db2" "xt-1M-1000-120-4" 849 2261 0 0.5 0.75 0 0 9.15799170699785e-05 1
"163" "db2" "xt-1M-1000-120-4" 849 2263 0 0.5 1 0 0 9.20252057532122e-05 1
"164" "db2" "xt-1M-1000-120-4" 849 2283 0 0.5 0.25 0 0 9.76237959435995e-05 1
"165" "db2" "xt-1M-1000-120-4" 849 2301 0 0.5 0.5 0 0 9.90583603696066e-05 1
"166" "db2" "xt-1M-1000-120-4" 849 2304 0 0.5 0.75 0 0 9.3403545051933e-05 1
"167" "db2" "xt-1M-1000-120-4" 849 2322 0 0.5 1 0 0 8.82898518191605e-05 1
"168" "db2" "xt-1M-1000-120-4" 849 2323 0 0.5 0.25 0 0 9.3980336071087e-05 1
"169" "db2" "xt-1M-1000-120-4" 849 2326 0 0.5 0.5 0 0 9.21569945865964e-05 1
"170" "db2" "xt-1M-1000-120-4" 849 2342 0 0.5 0.75 0 0 9.29850438815721e-05 1
"171" "db2" "xt-1M-1000-120-4" 849 3003 0 0.5 0.25 0.1 0.1 7.90386338374165e-05 0.5
"172" "db2" "xt-1M-1000-120-4" 849 3004 0 0.5 0.5 0.1 0.1 9.94018708287972e-05 0.5
"173" "db2" "xt-1M-1000-120-4" 849 3024 0 0.5 1 0.1 0.1 6.49184630814184e-05 0.6
"174" "db2" "xt-1M-1000-120-4" 849 3184 0 0.5 0.5 1 1 9.09517713804243e-05 1
"175" "db2" "xt-1M-1000-120-8" 1870 3764 0 1 0.25 0 0 0.0003284691990883 1
"176" "db2" "xt-1M-1000-120-8" 1870 3804 0 1 0.5 0 0 0.000347554370893317 1
"177" "db2" "xt-1M-1000-120-8" 1870 3806 0 1 0.75 0 0 0.000359820115189994 1
"178" "db2" "xt-1M-1000-120-8" 1870 3823 0 1 1 0 0 0.000362004515103338 1
"179" "db2" "xt-1M-1000-120-8" 1870 3843 0 1 0.25 0 0 0.000343808917923664 1
"180" "db2" "xt-1M-1000-120-8" 1870 3863 0 1 0.5 0 0 0.000359250987977999 1
"181" "db2" "xt-1M-1000-120-8" 1870 4164 0 1 0.75 0 0 0.000364763700553588 1
"182" "db2" "xt-1M-1000-120-8" 1870 4184 0 1 1 0 0 0.00034009813114714 1
"183" "db2" "xt-1M-1000-120-8" 1870 4204 0 1 0.25 0 0 0.000340112742517798 1
"184" "db2" "xt-1M-1000-120-8" 1870 4224 0 1 0.5 0 0 0.000348802998465267 1
"185" "db2" "xt-1M-1000-120-8" 1870 4244 0 1 0.75 0 0 0.000351787370922126 1
"186" "db2" "xt-1M-1000-120-8" 1870 4265 0 1 1 0 0 0.000361507871749704 1
"187" "db2" "xt-1M-1000-120-8" 1870 4384 0 1 0.25 0 0 0.000349165990752002 1
"188" "db2" "xt-1M-1000-120-8" 1870 4604 0 1 0.5 0 0 0.000351546927925566 1
"189" "db2" "xt-1M-1000-120-8" 1870 4625 0 1 0.75 0 0 0.000353186911033174 1
"190" "db2" "xt-1M-1000-120-8" 1870 4724 0 1 1 0 0 0.000356072155367532 1
"191" "db2" "xt-1M-1000-120-8" 1870 4765 0 1 0.25 0.01 0.01 0.202965509463838 1
"192" "db2" "xt-1M-1000-120-8" 1870 4805 0 1 0.5 0.01 0.01 0.461516779063292 0.5
"193" "db2" "xt-1M-1000-120-8" 1870 4824 0 1 0.75 0.01 0.01 0.859304543271231 1
"194" "db2" "xt-1M-1000-120-8" 1870 4844 0 1 1 0.01 0.01 0.945274820086889 1
"195" "db2" "xt-1M-1000-120-8" 1870 5205 0 1 0.25 0.1 0.1 0.0328083872175525 1
"196" "db2" "xt-1M-1000-120-8" 1870 5245 0 1 0.5 0.1 0.1 0.0364354862942684 1
"197" "db2" "xt-1M-1000-120-8" 1870 5284 0 1 0.75 0.1 0.1 0.0152779168916948 0.5
"198" "db2" "xt-1M-1000-120-8" 1870 5304 0 1 1 0.1 0.1 0.0386959514991452 0.7
"199" "db2" "xt-1M-1000-120-8" 1870 5606 0 1 0.25 1 1 0.00359744401072727 1
"200" "db2" "xt-1M-1000-120-8" 1870 5608 0 1 0.5 1 1 0.013876263718602 1
"201" "db2" "xt-1M-1000-120-8" 1870 5626 0 1 0.75 1 1 0.0343521850329832 0.6
"202" "db2" "xt-1M-1000-120-8" 1870 5628 0 1 1 1 1 0.000234493948347197 1
"203" "mysql" "pk-xt-1M-1000-120-1" 1290 7207 1 0.125 0.25 0 0 0.200576430462096 1
"204" "mysql" "pk-xt-1M-1000-120-1" 1290 7246 1 0.125 0.5 0 0 0.0757488146879199 0.7
"205" "mysql" "pk-xt-1M-1000-120-1" 1290 7286 1 0.125 0.75 0 0 0.108991023814212 0.6
"206" "mysql" "pk-xt-1M-1000-120-1" 1290 7306 1 0.125 1 0 0 0.488449856212026 0.7
"207" "mysql" "pk-xt-1M-1000-120-1" 1290 7327 1 0.125 0.25 0 0 0.172736730513182 1
"208" "mysql" "pk-xt-1M-1000-120-1" 1290 7366 1 0.125 0.5 0 0 0.0782455746209531 1
"209" "mysql" "pk-xt-1M-1000-120-1" 1290 7406 1 0.125 0.75 0 0 0.0849773430732658 1
"210" "mysql" "pk-xt-1M-1000-120-1" 1290 7427 1 0.125 1 0 0 0.496375860549522 0.6
"211" "mysql" "pk-xt-1M-1000-120-1" 1290 7467 1 0.125 0.25 0 0 0.183236563246114 1
"212" "mysql" "pk-xt-1M-1000-120-1" 1290 7506 1 0.125 0.5 0 0 0.0639088628504356 1
"213" "mysql" "pk-xt-1M-1000-120-1" 1290 7546 1 0.125 0.75 0 0 0.346067450631522 0.7
"214" "mysql" "pk-xt-1M-1000-120-1" 1290 7587 1 0.125 1 0 0 0.481330251558901 1
"215" "mysql" "pk-xt-1M-1000-120-1" 1290 7627 1 0.125 0.25 0 0 0.188926547416717 1
"216" "mysql" "pk-xt-1M-1000-120-1" 1290 7666 1 0.125 0.5 0 0 0.0496697816085521 1
"217" "mysql" "pk-xt-1M-1000-120-1" 1290 7686 1 0.125 0.75 0 0 0.102648203602617 0.7
"218" "mysql" "pk-xt-1M-1000-120-1" 1290 7706 1 0.125 1 0 0 0.49890095486686 1
"219" "mysql" "pk-xt-1M-1000-120-1" 1290 7726 1 0.125 0.25 0.01 0.01 0.00181228662172499 1
"220" "mysql" "pk-xt-1M-1000-120-1" 1290 7747 1 0.125 0.5 0.01 0.01 0.00179157392945204 1
"221" "mysql" "pk-xt-1M-1000-120-1" 1290 7766 1 0.125 0.75 0.01 0.01 0.00180104116652155 1
"222" "mysql" "pk-xt-1M-1000-120-1" 1290 7786 1 0.125 1 0.01 0.01 0.00178818817404829 1
"223" "mysql" "pk-xt-1M-1000-120-1" 1290 8126 1 0.125 0.25 0.1 0.1 0.00396176822417127 1
"224" "mysql" "pk-xt-1M-1000-120-1" 1290 8146 1 0.125 0.5 0.1 0.1 0.0039384206863474 1
